Frequency (Hz)	Amplitude (mm)	Phase Angle (deg)	Real (mm)	Imaginary (mm)
11672	1.1661e-005	-178.7	-1.1658e-005	-2.641e-007
11788	1.1369e-005	-178.76	-1.1366e-005	-2.4556e-007
11904	1.1096e-005	-178.82	-1.1093e-005	-2.2857e-007
12020	1.084e-005	-178.87	-1.0838e-005	-2.1293e-007
12136	1.06e-005	-178.93	-1.0598e-005	-1.9845e-007
12252	1.0376e-005	-178.98	-1.0374e-005	-1.8502e-007
12368	1.0165e-005	-179.03	-1.0164e-005	-1.7249e-007
12484	9.9675e-006	-179.08	-9.9662e-006	-1.6078e-007
12600	9.7823e-006	-179.12	-9.7811e-006	-1.4978e-007
12716	9.6086e-006	-179.17	-9.6076e-006	-1.3942e-007
12832	9.446e-006	-179.21	-9.4451e-006	-1.2962e-007
12948	9.2938e-006	-179.26	-9.293e-006	-1.203e-007
13064	9.1516e-006	-179.3	-9.1509e-006	-1.114e-007
13180	9.019e-006	-179.35	-9.0184e-006	-1.0287e-007
13296	8.8956e-006	-179.39	-8.8951e-006	-9.4648e-008
13412	8.7811e-006	-179.43	-8.7807e-006	-8.6672e-008
13528	8.6754e-006	-179.48	-8.6751e-006	-7.8887e-008
13644	8.5783e-006	-179.52	-8.578e-006	-7.1237e-008
13760	8.4897e-006	-179.57	-8.4894e-006	-6.3661e-008
13876	8.4095e-006	-179.62	-8.4093e-006	-5.6092e-008
13992	8.3379e-006	-179.67	-8.3378e-006	-4.8455e-008
14108	8.275e-006	-179.72	-8.2749e-006	-4.0665e-008
14224	8.2209e-006	-179.77	-8.2209e-006	-3.2615e-008
14340	8.1762e-006	-179.83	-8.1761e-006	-2.417e-008
14456	8.1412e-006	-179.89	-8.1412e-006	-1.5154e-008
14572	8.1168e-006	-179.96	-8.1168e-006	-5.3161e-009
14688	8.1039e-006	179.96	-8.1039e-006	5.7115e-009
14804	8.1041e-006	179.87	-8.104e-006	1.8516e-008
14920	8.1192e-006	179.76	-8.1191e-006	3.411e-008
15036	8.1525e-006	179.62	-8.1523e-006	5.4438e-008
15152	8.2086e-006	179.42	-8.2082e-006	8.374e-008
15268	8.2951e-006	179.08	-8.294e-006	1.3289e-007
15384	8.4185e-006	178.4	-8.4152e-006	2.3517e-007
15500	8.5173e-006	176.73	-8.5034e-006	4.8515e-007
15616	8.2499e-006	175.35	-8.2227e-006	6.6928e-007
15732	8.1955e-006	177.18	-8.1856e-006	4.0257e-007
15848	8.4256e-006	178.03	-8.4206e-006	2.9007e-007
15964	8.7093e-006	178.15	-8.7048e-006	2.8117e-007
16080	9.0466e-006	177.97	-9.041e-006	3.2005e-007
16196	9.4675e-006	177.59	-9.4591e-006	3.9762e-007
16312	1.0023e-005	176.99	-1.0009e-005	5.2596e-007
16428	1.0791e-005	176.07	-1.0766e-005	7.3997e-007
16544	1.1919e-005	174.59	-1.1865e-005	1.1244e-006
16660	1.3718e-005	172.	-1.3584e-005	1.91e-006
16776	1.697e-005	166.76	-1.6519e-005	3.8865e-006
16892	2.3952e-005	153.18	-2.1375e-005	1.0806e-005
17008	3.3956e-005	107.05	-9.9552e-006	3.2464e-005
17124	1.7163e-005	53.139	1.0296e-005	1.3732e-005
17240	7.1122e-006	40.311	5.4234e-006	4.6011e-006
17356	3.0425e-006	45.669	2.1261e-006	2.1763e-006
17472	1.2839e-006	80.866	2.0381e-007	1.2676e-006
17588	1.329e-006	140.7	-1.0284e-006	8.4169e-007
17704	1.9859e-006	162.02	-1.8889e-006	6.1293e-007
17820	2.5776e-006	169.28	-2.5326e-006	4.7931e-007
17936	3.0684e-006	172.55	-3.0425e-006	3.976e-007
18052	3.4847e-006	174.28	-3.4673e-006	3.4717e-007
18168	3.8509e-006	175.27	-3.8378e-006	3.174e-007
18284	4.1861e-006	175.85	-4.1752e-006	3.0263e-007
18400	4.5053e-006	176.18	-4.4953e-006	2.9997e-007
18516	4.8212e-006	176.33	-4.8113e-006	3.0827e-007
18632	5.1458e-006	176.35	-5.1354e-006	3.2778e-007
18748	5.4919e-006	176.24	-5.4801e-006	3.6013e-007
18864	5.8743e-006	176.01	-5.8601e-006	4.0868e-007
18980	6.3121e-006	175.64	-6.2939e-006	4.7941e-007
19096	6.832e-006	175.11	-6.8071e-006	5.8277e-007
19212	7.4739e-006	174.34	-7.4374e-006	7.375e-007
19328	8.3021e-006	173.23	-8.2441e-006	9.7935e-007
19444	9.4282e-006	171.57	-9.3263e-006	1.3824e-006
19560	1.1064e-005	168.96	-1.0859e-005	2.1188e-006
19676	1.3658e-005	164.47	-1.316e-005	3.6558e-006
19792	1.8262e-005	155.63	-1.6635e-005	7.5357e-006
19908	2.6921e-005	134.41	-1.8838e-005	1.9233e-005
20024	3.1445e-005	86.129	2.1227e-006	3.1373e-005
